date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2020-01-01 00:00:00-05:00,New Year's Day,Holiday,,,2020,1,1,2,Wednesday,False,0
2020-01-01 19:00:00-05:00,Knicks vs Portland (Home),Sports,Knicks,Home,2020,1,1,2,Wednesday,False,19
2020-01-01 19:00:00-05:00,"Giants vs Thu, Aug 13 (Home)",Sports,Giants,Home,2020,1,1,2,Wednesday,False,19
2020-01-01 19:00:00-05:00,"Jets vs Sun, Sep 13 (Home)",Sports,Jets,Home,2020,1,1,2,Wednesday,False,19
2020-01-01 19:00:00-05:00,"Giants vs Mon, Sep 14 (Home)",Sports,Giants,Home,2020,1,1,2,Wednesday,False,19
2020-01-01 19:00:00-05:00,"Jets vs Thu, Aug 13 (Home)",Sports,Jets,Home,2020,1,1,2,Wednesday,False,19
2020-01-03 19:00:00-05:00,Knicks vs Phoenix (Away),Sports,Knicks,Away,2020,1,3,4,Friday,False,19
2020-01-05 19:00:00-05:00,Knicks vs LA (Away),Sports,Knicks,Away,2020,1,5,6,Sunday,True,19
2020-01-07 19:00:00-05:00,Knicks vs Los Angeles (Away),Sports,Knicks,Away,2020,1,7,1,Tuesday,False,19
2020-01-08 19:00:00-05:00,Knicks vs Utah (Away),Sports,Knicks,Away,2020,1,8,2,Wednesday,False,19
2020-01-10 19:00:00-05:00,Knicks vs New Orleans (Home),Sports,Knicks,Home,2020,1,10,4,Friday,False,19
2020-01-12 19:00:00-05:00,Knicks vs Miami (Home),Sports,Knicks,Home,2020,1,12,6,Sunday,True,19
2020-01-14 19:00:00-05:00,Knicks vs Milwaukee (Away),Sports,Knicks,Away,2020,1,14,1,Tuesday,False,19
2020-01-16 19:00:00-05:00,Knicks vs Phoenix (Home),Sports,Knicks,Home,2020,1,16,3,Thursday,False,19
2020-01-18 19:00:00-05:00,Knicks vs Philadelphia (Home),Sports,Knicks,Home,2020,1,18,5,Saturday,True,19
2020-01-20 19:00:00-05:00,Knicks vs Cleveland (Away),Sports,Knicks,Away,2020,1,20,0,Monday,False,19
2020-01-20 00:00:00-05:00,Martin Luther King Jr. Day,Holiday,,,2020,1,20,0,Monday,False,0
2020-01-22 19:00:00-05:00,Knicks vs Los Angeles (Home),Sports,Knicks,Home,2020,1,22,2,Wednesday,False,19
2020-01-24 19:00:00-05:00,Knicks vs Toronto (Home),Sports,Knicks,Home,2020,1,24,4,Friday,False,19
2020-01-26 19:00:00-05:00,Knicks vs Brooklyn (Home),Sports,Knicks,Home,2020,1,26,6,Sunday,True,19
